OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
105501,042058,04,E BROADWAY,CHATHAM SQUARE,GRAND ST,16,30,123 Ft. E/O Forsyth St.     ,042058                                            ,1,2019,1,7,Eastbound,,120,58,60,40,32,46,132,225,268,248,270,266,316,287,256,246,250,290,260,224,206,180,172,150,4602,0.942,1,4885,316,13,23,4113,0,210,250,0,0,0,2,0,0,0,0,,4598,10,10,10,0,1,89,0,5,5,1,1,0,,,,,,,,,11,4,,40.71379,-73.99353,585011.4223999996,4507472.889900001
105502,042058,04,E BROADWAY,CHATHAM SQUARE,GRAND ST,16,30,123 Ft. E/O Forsyth St.     ,042058                                            ,1,2019,1,7,Westbound,,80,58,48,36,39,54,80,186,240,208,219,245,244,220,235,268,300,330,254,190,134,144,130,116,4058,0.942,1,4308,330,18,23,3588,0,253,190,0,0,0,0,0,0,0,0,,4054,11,11,11,0,1,89,0,6,5,1,0,0,,,,,,,,,11,4,,40.71379,-73.99353,585011.4223999996,4507472.889900001
105503,042058,04,E BROADWAY,CHATHAM SQUARE,GRAND ST,16,30,123 Ft. E/O Forsyth St.     ,,1,2019,1,7,Combined Total,Y,200,116,108,76,71,100,212,411,508,456,489,511,560,507,491,514,550,620,514,414,340,324,302,266,8660,0.942,1,9193,620,18,46,7701,0,463,440,0,0,0,2,0,0,0,0,,8652,10,10,10,0,1,89,0,5,5,1,0,0,,,,,,,,,11,4,,40.71379,-73.99353,585011.4223999996,4507472.889900001
106014,041148,04,CHURCH ST,LIBERTY ST,CANAL ST,14,30,89 Ft. S/O Reade Street     ,041148                                             / 041148 / 041148,1,2019,1,9,Northbound,,726,497,357,304,374,572,667,860,848,836,966,923,930,880,954,818,688,678,831,998,1127,1014,934,920,18702,0.942,1,19854,1127,21,105,16023,1066,629,855,0,0,0,29,0,0,0,0,,18707,14,8,8,0,1,86,6,3,5,1,0,0,,,,,,,,,11,4,,40.7152,-74.00767,583815.3015999999,4507615.818700001
106015,041148,04,CHURCH ST,LIBERTY ST,CANAL ST,14,30,89 Ft. S/O Reade Street     ,,1,2019,1,9,Combined Total,Y,726,497,357,304,374,572,667,860,848,836,966,923,930,880,954,818,688,678,831,998,1127,1014,934,920,18702,0.942,1,19854,1127,21,105,16023,1066,629,855,0,0,0,29,0,0,0,0,,18707,14,8,8,0,1,86,6,3,5,1,0,0,,,,,,,,,11,4,,40.7152,-74.00767,583815.3015999999,4507615.818700001
106020,041188,04,MADISON AVE,E 135TH ST,E 138TH ST,14,30,280 Ft. S/O E 138 th Street ,041188                                            ,1,2019,1,14,Southbound,,19,6,8,6,13,17,83,152,124,78,50,64,55,70,56,68,74,71,104,62,45,42,35,40,1342,0.942,1,1425,152,8,1,1244,49,21,20,0,0,0,0,0,0,0,0,,1335,7,3,3,0,0,93,4,2,1,1,0,0,,,,,,,,,11,4,,40.81339,-73.93529,589796.5767999999,4518587.2687
106021,041188,04,MADISON AVE,E 135TH ST,E 138TH ST,14,30,280 Ft. S/O E 138 th Street ,,1,2019,1,14,Combined Total,Y,19,6,8,6,13,17,83,152,124,78,50,64,55,70,56,68,74,71,104,62,45,42,35,40,1342,0.942,1,1425,152,8,1,1244,49,21,20,0,0,0,0,0,0,0,0,,1335,7,3,3,0,0,93,4,2,1,1,0,0,,,,,,,,,11,4,,40.81339,-73.93529,589796.5767999999,4518587.2687
110292,063008,06,I278 Exit 6 & 7,I278 WB (OFF),RICHMOND AVE,11,30,299 Ft. N/O I 278           ,063008                                            ,1,2019,2,5,Westbound,,89,33,29,19,28,32,116,238,238,246,266,282,322,334,401,436,528,608,634,346,318,236,162,120,6061,0.963,1,6294,634,19,2,5380,370,205,90,0,0,0,11,0,0,0,0,,6058,11,5,5,0,0,89,6,3,1,1,0,0,,,,,,,,,11,6,,40.6163,-74.15779,571240.7123999996,4496505.0123
110293,063008,06,I278 Exit 6 & 7,I278 WB (OFF),RICHMOND AVE,11,30,299 Ft. N/O I 278           ,,1,2019,2,5,Combined Total,Y,89,33,29,19,28,32,116,238,238,246,266,282,322,334,401,436,528,608,634,346,318,236,162,120,6061,0.963,1,6294,634,19,2,5380,370,205,90,0,0,0,11,0,0,0,0,,6058,11,5,5,0,0,89,6,3,1,1,0,0,,,,,,,,,11,6,,40.6163,-74.15779,571240.7123999996,4496505.0123
110604,014068,01,E 142ND ST,WALES AVE,SOUTHERN BLVD,17,30,2 Ft. W/O Southern Blvd.    ,014068                                            ,1,2019,1,14,Eastbound,,6,6,5,2,6,13,20,21,28,25,26,28,24,30,30,40,40,45,26,12,14,6,10,6,469,0.942,1,498,45,18,2,371,51,14,20,0,0,0,2,0,0,0,0,,460,19,8,7,0,0,81,11,3,4,1,0,0,,,,,,,,,11,1,,40.80719,-73.90823,592087.4027000004,4517927.089
