OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
63,012202,01,PARK AVE,E165TH ST,CROSS BRONX EXPY,19,30,14 Ft. N/O Saint Pauls PL.  ,012202                                             / 012202,1,2019,9,30,Northbound,,122,70,42,40,54,94,201,418,411,362,381,399,364,366,410,477,490,526,456,340,309,238,181,174,6925,1.078,1,6424,526,18,50,6323,307,73,161,0,0,0,8,0,0,0,0,,6922,8,3,3,0,1,91,4,1,2,1,0,0,,,,,,,,,11,1,,40.83638,-73.90542,592283.9496999998,4521170.398399999
93760,041112,04,4TH AVE,E 6TH ST,UNION SQUARE E,14,30,139 Ft. N/O E 10 th Street   ,041112                                             / 041112 / 041112 / 041112,1,2019,1,7,Northbound,,318,198,124,106,104,212,307,616,774,751,616,602,606,625,652,652,612,658,678,758,732,622,564,420,12307,0.942,1,13065,774,9,36,10904,637,330,391,0,0,0,6,0,0,0,0,,12304,11,6,6,0,0,89,5,3,3,1,0,0,,,,,,,,,11,4,,40.73163,-73.99027,585264.0111999996,4509456.410499999
93761,041112,04,4TH AVE,E 6TH ST,UNION SQUARE E,14,30,139 Ft. N/O E 10 th Street   ,,1,2019,1,7,Combined Total,Y,318,198,124,106,104,212,307,616,774,751,616,602,606,625,652,652,612,658,678,758,732,622,564,420,12307,0.942,1,13065,774,9,36,10904,637,330,391,0,0,0,6,0,0,0,0,,12304,11,6,6,0,0,89,5,3,3,1,0,0,,,,,,,,,11,4,,40.73163,-73.99027,585264.0111999996,4509456.410499999
105517,044352,04,WILLIAM ST,S WILLIAM ST,BEEKMAN ST,16,30,137 Ft. S/O Fulton Street   ,044352                                            ,1,2019,1,7,Northbound,,52,27,29,22,33,32,58,80,97,115,146,120,114,90,102,111,103,90,90,96,76,63,68,59,1873,0.942,1,1988,146,11,66,1519,145,9,126,0,0,0,0,0,0,0,0,,1865,15,7,7,0,4,81,8,0,7,1,1,0,,,,,,,,,11,4,,40.70923,-74.00678,583897.9688999997,4506953.959899999
105518,044352,04,WILLIAM ST,S WILLIAM ST,BEEKMAN ST,16,30,137 Ft. S/O Fulton Street   ,,1,2019,1,7,Combined Total,Y,52,27,29,22,33,32,58,80,97,115,146,120,114,90,102,111,103,90,90,96,76,63,68,59,1873,0.942,1,1988,146,11,66,1519,145,9,126,0,0,0,0,0,0,0,0,,1865,15,7,7,0,4,81,8,0,7,1,1,0,,,,,,,,,11,4,,40.70923,-74.00678,583897.9688999997,4506953.959899999
106016,041172,04,E 62ND ST,BRIDGE ACC RD,FDR DR SR W,14,30,81 Ft. E/O 1st Ave.         ,041172                                             / 041172 / 041172,1,2019,1,14,Eastbound,,492,284,232,278,386,736,844,855,827,750,768,776,724,836,847,910,846,805,864,766,774,700,756,646,16702,0.942,1,17730,910,16,32,16025,507,58,73,0,0,0,1,0,0,0,0,,16696,4,1,1,0,0,96,3,0,0,1,0,0,,,,,,,,,11,4,,40.76138,-73.96033,587753.1390000004,4512788.3862
106017,041172,04,E 62ND ST,BRIDGE ACC RD,FDR DR SR W,14,30,81 Ft. E/O 1st Ave.         ,,1,2019,1,14,Combined Total,Y,492,284,232,278,386,736,844,855,827,750,768,776,724,836,847,910,846,805,864,766,774,700,756,646,16702,0.942,1,17730,910,16,32,16025,507,58,73,0,0,0,1,0,0,0,0,,16696,4,1,1,0,0,96,3,0,0,1,0,0,,,,,,,,,11,4,,40.76138,-73.96033,587753.1390000004,4512788.3862
109875,060002,06,Staten Island E,START I-278/440 OLAP,RICHMOND AVE EXIT,11,30,456 Ft. E/O Off Ramp        ,060002                                             / 060002 / 060002 / 060002,1,2019,2,5,Eastbound,,1072,678,580,741,1604,4120,4454,4100,4394,4594,4068,3842,3645,3750,4101,4372,4866,4744,4246,3879,2988,2535,2286,1614,77273,0.963,1,80242,4866,17,60,64096,5801,854,3615,0,0,0,2847,0,0,0,0,,77273,17,9,6,4,0,83,8,1,5,1,0,0,,,,,,,,,11,6,,40.61982,-74.16515,570614.4325000001,4496889.814300001
109876,060002,06,Staten Island E,START I-278/440 OLAP,RICHMOND AVE EXIT,11,30,230 Ft. W/O In Ramp         ,060002                                             / 060002 / 060002 / 060002,1,2019,2,5,Westbound,,928,563,412,418,688,1634,2950,4380,4630,4130,3933,3708,3805,4142,5021,5190,5052,4775,4506,3465,3206,2596,2005,1578,73715,0.963,1,76547,5190,16,54,61356,6068,800,3221,0,0,0,2222,0,0,0,0,,73721,17,8,5,3,0,83,8,1,4,1,0,0,,,,,,,,,11,6,,40.61982,-74.16515,570614.4325000001,4496889.814300001
109877,060002,06,Staten Island E,START I-278/440 OLAP,RICHMOND AVE EXIT,11,30,230 Ft. W/O In Ramp         ,,1,2019,2,5,Combined Total,Y,2000,1241,992,1159,2292,5754,7404,8480,9024,8724,8001,7550,7450,7892,9122,9562,9918,9519,8752,7344,6194,5131,4291,3192,150988,0.963,1,156789,9918,17,114,125452,11869,1654,6836,0,0,0,5069,0,0,0,0,,150994,17,9,6,3,0,83,8,1,5,1,0,0,,,,,,,,,11,6,,40.61982,-74.16515,570614.4325000001,4496889.814300001
