OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
60,010014,01,HENRY HUDSON PK,NY/Bronx Co Line,RIVERDALE AVE OVER,12,30,42 Ft. N/O Fiedston Rd Over Pass,010014                                             / 010014,1,2019,10,23,Eastbound,,498,236,104,83,110,300,922,2308,2530,2062,1664,1715,1778,1754,2342,3284,3012,3100,3020,2444,2027,1634,1401,1046,39374,1.079,1,36491,3284,16,82,37586,1258,403,44,0,0,0,0,0,0,0,0,,39373,4,1,1,0,0,95,3,1,0,1,0,0,,,,,,,,,11,1,,40.90119,-73.90176,592502.2834999999,4528368.8134
61,010014,01,HENRY HUDSON PK,NY/Bronx Co Line,RIVERDALE AVE OVER,12,30,42 Ft. N/O Fiedston Rd Over Pass,010014                                             / 010014,1,2019,10,23,Westbound,,224,104,70,83,237,1144,3366,3366,3008,2863,2720,2764,2578,2780,3230,3124,3226,3046,3164,2382,1466,1194,988,442,47569,1.079,1,44086,3366,7,90,45431,1582,416,50,0,0,0,1,0,0,0,0,,47570,4,1,1,0,0,96,3,1,0,1,0,0,,,,,,,,,11,1,,40.90119,-73.90176,592502.2834999999,4528368.8134
62,010014,01,HENRY HUDSON PK,NY/Bronx Co Line,RIVERDALE AVE OVER,12,30,42 Ft. N/O Fiedston Rd Over Pass,,1,2019,10,23,Combined Total,Y,722,340,174,166,347,1444,4288,5674,5538,4925,4384,4479,4356,4534,5572,6408,6238,6146,6184,4826,3493,2828,2389,1488,86943,1.079,1,80577,6408,16,172,83017,2840,819,94,0,0,0,1,0,0,0,0,,86943,4,1,1,0,0,95,3,1,0,1,0,0,,,,,,,,,11,1,,40.90119,-73.90176,592502.2834999999,4528368.8134
93762,041114,04,7TH AVE,W 23RD ST,W HOUSTON ST,14,30,10 Ft. N/O W 13 th Street   ,041114                                             / 041114 / 041114,1,2019,1,9,Southbound,,1242,979,720,553,512,660,942,1107,1232,1164,1184,1206,1193,1268,1322,1402,1364,1372,1546,1561,1576,1445,1400,1355,28305,0.942,1,30048,1576,21,56,25127,1557,258,1245,0,0,0,55,0,0,0,0,,28298,11,6,5,0,0,89,6,1,4,1,0,0,,,,,,,,,11,4,,40.73786,-74.0001,584426.0532999998,4510138.4836
93763,041114,04,7TH AVE,W 23RD ST,W HOUSTON ST,14,30,10 Ft. N/O W 13 th Street   ,,1,2019,1,9,Combined Total,Y,1242,979,720,553,512,660,942,1107,1232,1164,1184,1206,1193,1268,1322,1402,1364,1372,1546,1561,1576,1445,1400,1355,28305,0.942,1,30048,1576,21,56,25127,1557,258,1245,0,0,0,55,0,0,0,0,,28298,11,6,5,0,0,89,6,1,4,1,0,0,,,,,,,,,11,4,,40.73786,-74.0001,584426.0532999998,4510138.4836
105132,011284,01,BROOK AVE,E 163RD ST,E 165TH ST,16,30,212 Ft. S/O E 165 Street    ,011284                                            ,1,2019,1,15,Northbound,,48,34,27,30,30,56,128,220,236,221,262,261,247,265,264,308,329,317,266,213,152,134,100,75,4223,0.942,1,4483,329,17,19,3768,188,108,133,0,0,0,9,0,0,0,0,,4225,10,6,6,0,0,89,4,3,3,1,0,0,,,,,,,,,11,1,,40.82709,-73.91174,591763.9104000004,4520132.484999999
105133,011284,01,BROOK AVE,E 163RD ST,E 165TH ST,16,30,212 Ft. S/O E 165 Street    ,011284                                            ,1,2019,1,15,Southbound,,34,26,26,18,28,48,90,176,174,154,161,154,146,157,164,165,176,154,136,103,95,90,60,47,2582,0.942,1,2741,329,17,22,2330,103,43,76,0,0,0,4,0,0,0,0,,2578,9,5,5,0,1,90,4,2,3,1,1,0,,,,,,,,,11,1,,40.82709,-73.91174,591763.9104000004,4520132.484999999
105134,011284,01,BROOK AVE,E 163RD ST,E 165TH ST,16,30,212 Ft. S/O E 165 Street    ,,1,2019,1,15,Combined Total,Y,82,60,53,48,58,104,218,396,410,375,423,415,393,422,428,473,505,471,402,316,247,224,160,122,6805,0.942,1,7224,505,17,41,6098,291,151,209,0,0,0,13,0,0,0,0,,6803,10,5,5,0,1,90,4,2,3,1,0,0,,,,,,,,,11,1,,40.82709,-73.91174,591763.9104000004,4520132.484999999
106007,014254,01,STORY AVE,BRONX RIVER AVE,METCALF AVE,17,30,163 Ft. E/O Morrison Ave.   ,                                                    / ,1,2019,1,14,Eastbound,,188,104,68,48,85,184,380,700,768,523,491,494,564,604,790,992,1069,1073,954,646,513,421,317,262,12238,0.942,1,12992,1073,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,40.82235,-73.87231,595095.5476000002,4519648.341499999
106008,014254,01,STORY AVE,BRONX RIVER AVE,METCALF AVE,17,30,163 Ft. E/O Morrison Ave.   ,                                                    / ,1,2019,1,14,Westbound,,55,29,23,20,31,115,436,492,535,361,258,293,330,321,368,389,436,416,350,250,186,136,84,63,5977,0.942,1,6345,1073,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,40.82235,-73.87231,595095.5476000002,4519648.341499999
106009,014254,01,STORY AVE,BRONX RIVER AVE,METCALF AVE,17,30,163 Ft. E/O Morrison Ave.   ,,1,2019,1,14,Combined Total,Y,243,133,91,68,116,299,816,1192,1303,884,749,787,894,925,1158,1381,1505,1489,1304,896,699,557,401,325,18215,0.942,1,19337,1505,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,40.82235,-73.87231,595095.5476000002,4519648.341499999
109796,011214,01,3RD AVE,MORRIS AVE,BRUCKNER BLVD,14,30,340 Ft. W/O E 135 th Street ,011214                                             / 011214 / 011214 / 011214,1,2019,1,14,Westbound,,724,476,376,462,911,2052,2105,1992,1654,1586,1463,1508,1489,1643,1711,1668,1709,1854,1738,1662,1544,1414,1457,1088,34286,0.942,1,36397,2105,7,27,31691,1480,432,572,0,0,0,80,0,0,0,0,,34282,7,3,3,0,0,92,4,1,2,1,0,0,,,,,,,,,11,1,,40.80864,-73.93045,590211.2183999997,4518064.9471
110195,011214,01,3RD AVE,MORRIS AVE,BRUCKNER BLVD,14,30,340 Ft. W/O E 135 th Street ,,1,2019,1,14,Combined Total,Y,724,476,376,462,911,2052,2105,1992,1654,1586,1463,1508,1489,1643,1711,1668,1709,1854,1738,1662,1544,1414,1457,1088,34286,0.942,1,36397,2105,7,27,31691,1480,432,572,0,0,0,80,0,0,0,0,,34282,7,3,3,0,0,92,4,1,2,1,0,0,,,,,,,,,11,1,,40.80864,-73.93045,590211.2183999997,4518064.9471
110212,014024,01,BOGART AVE,LYDIG AVE,WOOD MANSTN PL,17,30,10 Ft. S/O Woodmansten PL.  ,014024                                            ,1,2019,1,14,Northbound,,18,10,2,3,4,14,24,56,112,56,50,58,62,47,70,71,75,106,90,60,52,40,29,24,1133,0.942,1,1203,112,9,3,1053,35,20,19,0,0,0,0,0,0,0,0,,1130,7,3,3,0,0,93,3,2,2,1,0,0,,,,,,,,,11,1,,40.85483,-73.86104,595999.0635000002,4523266.2238
110213,014024,01,BOGART AVE,LYDIG AVE,WOOD MANSTN PL,17,30,10 Ft. S/O Woodmansten PL.  ,014024                                            ,1,2019,1,14,Southbound,,8,5,2,4,2,6,15,30,24,8,13,18,16,13,18,18,17,26,22,14,20,11,14,6,330,0.942,1,350,112,9,5,299,15,4,4,0,0,0,0,0,0,0,0,,327,7,2,2,0,2,91,5,1,1,1,0,0,,,,,,,,,11,1,,40.85483,-73.86104,595999.0635000002,4523266.2238
110214,014024,01,BOGART AVE,LYDIG AVE,WOOD MANSTN PL,17,30,10 Ft. S/O Woodmansten PL.  ,,1,2019,1,14,Combined Total,Y,26,15,4,7,6,20,39,86,136,64,63,76,78,60,88,89,92,132,112,74,72,51,43,30,1463,0.942,1,1553,136,9,8,1352,50,24,23,0,0,0,0,0,0,0,0,,1457,7,3,3,0,1,93,3,2,2,1,0,0,,,,,,,,,11,1,,40.85483,-73.86104,595999.0635000002,4523266.2238
110275,060014,06,WEST SHORE EXP,EXIT 8 SOUTH AVE,START 278I/440 OLAP,12,30,596 Ft. W/O I 278           ,060014                                             / 060014,1,2019,2,5,Eastbound,,518,304,266,379,983,2594,2550,2510,2636,2660,2240,2186,2048,2090,2275,2312,2434,2316,2070,1878,1605,1271,1146,804,42075,0.963,1,43692,2660,10,44,35337,3360,673,1591,0,0,0,1066,0,0,0,0,,42071,16,8,5,3,0,84,8,2,4,1,0,0,,,,,,,,,11,6,,40.62199,-74.1714,570083.5125000002,4497125.6964
110276,060014,06,WEST SHORE EXP,EXIT 8 SOUTH AVE,START 278I/440 OLAP,12,30,756 Ft. W/O I 278           ,060014                                             / 060014,1,2019,2,5,Westbound,,606,319,228,207,316,776,1392,2196,2328,2044,2040,1967,2110,2435,3086,2902,2701,2556,2586,2182,2157,1722,1312,1028,41196,0.963,1,42779,3086,15,43,34724,3481,692,1476,0,0,0,784,0,0,0,0,,41200,16,7,5,2,0,84,8,2,4,1,0,0,,,,,,,,,11,6,,40.62199,-74.1714,570083.5125000002,4497125.6964
110277,060014,06,WEST SHORE EXP,EXIT 8 SOUTH AVE,START 278I/440 OLAP,12,30,756 Ft. W/O I 278           ,,1,2019,2,5,Combined Total,Y,1124,623,494,586,1299,3370,3942,4706,4964,4704,4280,4153,4158,4525,5361,5214,5135,4872,4656,4060,3762,2993,2458,1832,83271,0.963,1,86471,5361,15,87,70061,6841,1365,3067,0,0,0,1850,0,0,0,0,,83271,16,8,5,2,0,84,8,2,4,1,0,0,,,,,,,,,11,6,,40.62199,-74.1714,570083.5125000002,4497125.6964
110284,063004,06,I278 Exit 3 & 4,I278 EB (OFF),GULF AVE,11,30,244 Ft. E/O I 278           ,063004                                            ,1,2019,2,5,Eastbound,,38,22,20,32,44,161,430,418,370,320,270,262,240,274,296,276,244,250,400,208,108,88,101,58,4930,0.963,1,5119,430,7,5,3022,517,18,509,0,0,0,859,0,0,0,0,,4930,39,28,11,17,0,61,10,0,10,1,1,1,,,,,,,,,11,6,,40.62552,-74.17896,569440.4199999999,4497511.546800001
110285,063004,06,I278 Exit 3 & 4,I278 EB (OFF),GULF AVE,11,30,244 Ft. E/O I 278           ,,1,2019,2,5,Combined Total,Y,38,22,20,32,44,161,430,418,370,320,270,262,240,274,296,276,244,250,400,208,108,88,101,58,4930,0.963,1,5119,430,7,5,3022,517,18,509,0,0,0,859,0,0,0,0,,4930,39,28,11,17,0,61,10,0,10,1,1,1,,,,,,,,,11,6,,40.62552,-74.17896,569440.4199999999,4497511.546800001
110681,063014,06,I278 Exit 10 AT,I278 WB (OFF),N GANNON AVE,11,30,354 Ft. W/O I 278           ,063014                                            ,1,2019,2,5,Westbound,,122,72,50,35,53,104,222,580,589,766,630,618,628,664,830,794,832,831,803,524,541,406,280,227,11201,0.963,1,11631,832,17,11,10337,523,197,110,0,0,0,14,0,0,0,0,,11192,8,3,3,0,0,92,5,2,1,1,0,0,,,,,,,,,11,6,,40.60799,-74.1451,572323.1040000003,4495592.9197
110682,063014,06,I278 Exit 10 AT,I278 WB (OFF),N GANNON AVE,11,30,354 Ft. W/O I 278           ,,1,2019,2,5,Combined Total,Y,122,72,50,35,53,104,222,580,589,766,630,618,628,664,830,794,832,831,803,524,541,406,280,227,11201,0.963,1,11631,832,17,11,10337,523,197,110,0,0,0,14,0,0,0,0,,11192,8,3,3,0,0,92,5,2,1,1,0,0,,,,,,,,,11,6,,40.60799,-74.1451,572323.1040000003,4495592.9197
110904,041204,04,UNION SQ W,E 17TH ST,E 14TH ST,14,30,10 Ft. S/O E 16 th Street   ,041204                                            ,1,2019,1,9,Southbound,,48,32,19,18,19,25,36,56,65,84,112,86,104,114,100,90,88,70,52,49,38,42,35,37,1419,0.942,1,1506,114,14,10,1138,134,5,114,0,0,0,2,0,0,0,0,,1403,18,9,8,0,1,81,10,0,8,1,1,0,,,,,,,,,11,4,,40.73644,-73.99081,585212.2740000002,4509989.829600001
110905,041204,04,UNION SQ W,E 17TH ST,E 14TH ST,14,30,10 Ft. S/O E 16 th Street   ,,1,2019,1,9,Combined Total,Y,48,32,19,18,19,25,36,56,65,84,112,86,104,114,100,90,88,70,52,49,38,42,35,37,1419,0.942,1,1506,114,14,10,1138,134,5,114,0,0,0,2,0,0,0,0,,1403,18,9,8,0,1,81,10,0,8,1,1,0,,,,,,,,,11,4,,40.73644,-73.99081,585212.2740000002,4509989.829600001
110912,042034,04,W 25TH ST,ELEVENTH AVE,FIFTH AVE,17,30,265 Ft. E/O 9 th Ave.       ,042034                                            ,1,2019,1,7,Westbound,,68,44,36,32,32,60,110,194,288,316,319,294,306,300,329,299,294,274,300,257,255,198,156,118,4879,0.942,1,5179,329,15,38,4142,367,73,256,0,0,0,6,0,0,0,0,,4882,14,7,7,0,1,85,8,1,5,1,0,0,,,,,,,,,11,4,,40.74736,-73.99947,584467.2275999999,4511193.6568
110913,042034,04,W 25TH ST,ELEVENTH AVE,FIFTH AVE,17,30,265 Ft. E/O 9 th Ave.       ,,1,2019,1,7,Combined Total,Y,68,44,36,32,32,60,110,194,288,316,319,294,306,300,329,299,294,274,300,257,255,198,156,118,4879,0.942,1,5179,329,15,38,4142,367,73,256,0,0,0,6,0,0,0,0,,4882,14,7,7,0,1,85,8,1,5,1,0,0,,,,,,,,,11,4,,40.74736,-73.99947,584467.2275999999,4511193.6568
111018,016084,01,I95 Exit 6 295I,I95 NB (OFF),MERGE FROM I95&I278 EB OFF,11,30,365 Ft. E/O I 95            ,016084                                            ,1,2019,1,14,Eastbound,,286,226,220,245,366,766,825,556,955,945,844,804,838,871,878,1043,1046,997,876,916,750,723,560,430,16966,0.942,1,18011,1046,17,0,13605,1156,172,1104,0,0,0,935,0,0,0,0,,16972,20,13,8,6,0,80,7,1,7,1,0,0,,,,,,,,,11,1,,40.82858,-73.84658,597256.2399000004,4520368.1699
