OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
93758,041105,04,WEST ST,BATTERY PL,I478,14,30,128 Ft. N/O Battery PL.     ,041105                                             / 041105,1,2019,1,7,Northbound,,391,177,108,66,83,165,292,414,516,584,540,543,506,510,535,553,560,588,545,438,420,366,532,573,10005,0.942,1,10621,588,18,7,7555,889,822,718,0,0,0,14,0,0,0,0,,10005,24,16,15,0,0,76,9,8,7,1,1,0,,,,,,,,,11,4,,40.70526,-74.01638,583091.9730000002,4506504.139699999
93759,041105,04,WEST ST,BATTERY PL,I478,14,30,128 Ft. N/O Battery PL.     ,,1,2019,1,7,Combined Total,Y,391,177,108,66,83,165,292,414,516,584,540,543,506,510,535,553,560,588,545,438,420,366,532,573,10005,0.942,1,10621,588,18,7,7555,889,822,718,0,0,0,14,0,0,0,0,,10005,24,16,15,0,0,76,9,8,7,1,1,0,,,,,,,,,11,4,,40.70526,-74.01638,583091.9730000002,4506504.139699999
93764,041115,04,8TH AVE,W 13TH ST,W 23RD ST,14,30,132 Ft. S/O W 18 th Street  ,041115                                             / 041115 / 041115,1,2019,1,9,Northbound,,816,600,460,384,396,548,739,1133,1118,1136,1134,1023,1020,1080,1111,1095,1118,1182,1178,1284,1289,1105,1054,962,22965,0.942,1,24379,1289,21,70,20596,1141,215,903,0,0,0,35,0,0,0,0,,22960,10,5,5,0,0,90,5,1,4,1,0,0,,,,,,,,,11,4,,40.74186,-74.00108,584338.2534999996,4510581.569599999
93765,041115,04,8TH AVE,W 13TH ST,W 23RD ST,14,30,132 Ft. S/O W 18 th Street  ,,1,2019,1,9,Combined Total,Y,816,600,460,384,396,548,739,1133,1118,1136,1134,1023,1020,1080,1111,1095,1118,1182,1178,1284,1289,1105,1054,962,22965,0.942,1,24379,1289,21,70,20596,1141,215,903,0,0,0,35,0,0,0,0,,22960,10,5,5,0,0,90,5,1,4,1,0,0,,,,,,,,,11,4,,40.74186,-74.00108,584338.2534999996,4510581.569599999
93771,041205,04,VARICK ST,W HOUSTON ST,W BROADWAY,14,30,102 Ft. N/O Grand Street    ,041205                                             / 041205 / 041205 / 041205,1,2019,1,7,Southbound,,642,474,346,272,297,449,674,777,884,898,917,924,878,916,949,946,982,970,1003,963,1120,962,930,804,18977,0.942,1,20145,1120,21,99,16036,1261,197,1340,0,0,0,45,0,0,0,0,,18978,15,8,8,0,1,84,7,1,7,1,0,0,,,,,,,,,11,4,,40.72338,-74.00618,583930.8778999997,4508525.275699999
93772,041205,04,VARICK ST,W HOUSTON ST,W BROADWAY,14,30,102 Ft. N/O Grand Street    ,,1,2019,1,7,Combined Total,Y,642,474,346,272,297,449,674,777,884,898,917,924,878,916,949,946,982,970,1003,963,1120,962,930,804,18977,0.942,1,20145,1120,21,99,16036,1261,197,1340,0,0,0,45,0,0,0,0,,18978,15,8,8,0,1,84,7,1,7,1,0,0,,,,,,,,,11,4,,40.72338,-74.00618,583930.8778999997,4508525.275699999
105117,011125,01,BRUCKNER BLVD E,SHERIDAN EXPY,BRONX RIVER PKWY,14,30,110 Ft. W/O Wheeler Ave.    ,011125                                             / 011125,1,2019,1,15,Southbound,,197,128,124,152,258,426,585,634,807,708,754,852,932,1034,1347,1726,1733,1794,1573,804,519,434,324,266,18111,0.942,1,19226,1794,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,40.82331,-73.87936,594499.6629999997,4519747.2839
105118,011125,01,BRUCKNER BLVD E,SHERIDAN EXPY,BRONX RIVER PKWY,14,30,110 Ft. W/O Wheeler Ave.    ,,1,2019,1,15,Combined Total,Y,197,128,124,152,258,426,585,634,807,708,754,852,932,1034,1347,1726,1733,1794,1573,804,519,434,324,266,18111,0.942,1,19226,1794,18,18,15349,1182,444,852,0,0,0,258,0,0,0,0,,18103,15,9,7,1,0,85,7,2,5,1,0,0,,,,,,,,,11,1,,40.82331,-73.87936,594499.6629999997,4519747.2839
105511,044105,04,E 40TH ST,PARK AVE,FIRST AVE,17,30,146 Ft. W/O 2nd Ave.        ,044105                                            ,1,2019,1,8,Eastbound,,88,52,32,30,36,82,193,292,332,350,355,286,268,266,284,328,324,314,309,284,285,270,226,146,5432,0.942,1,5766,355,11,9,4708,369,119,213,0,0,0,4,0,0,0,0,,5422,13,6,6,0,0,87,7,2,4,1,1,0,,,,,,,,,11,4,,40.74881,-73.97376,586635.8820000002,4511379.678099999
105512,044105,04,E 40TH ST,PARK AVE,FIRST AVE,17,30,146 Ft. W/O 2nd Ave.        ,,1,2019,1,8,Combined Total,Y,88,52,32,30,36,82,193,292,332,350,355,286,268,266,284,328,324,314,309,284,285,270,226,146,5432,0.942,1,5766,355,11,9,4708,369,119,213,0,0,0,4,0,0,0,0,,5422,13,6,6,0,0,87,7,2,4,1,1,0,,,,,,,,,11,4,,40.74881,-73.97376,586635.8820000002,4511379.678099999
