OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
93768,041176,04,E HOUSTON ST,BROADWAY,FDR DR,14,30,85 Ft. E/O Orchard Street   ,041176                                             / 041176,1,2019,1,7,Eastbound,,420,277,203,164,142,153,312,510,666,654,734,764,716,686,730,698,663,602,712,682,716,680,630,540,13054,0.942,1,13858,764,12,49,11575,790,178,454,0,0,0,7,0,0,0,0,,13053,11,5,5,0,0,89,6,1,3,1,0,0,,,,,,,,,11,4,,40.72266,-73.98752,585507.7131000003,4508463.353599999
93769,041176,04,E HOUSTON ST,BROADWAY,FDR DR,14,30,85 Ft. E/O Orchard Street   ,041176                                             / 041176,1,2019,1,7,Westbound,,210,130,95,78,103,193,340,393,536,560,550,523,502,511,480,573,587,631,620,561,518,436,391,314,9835,0.942,1,10441,764,12,41,8670,521,190,395,0,0,0,21,0,0,0,0,,9838,11,6,6,0,0,88,5,2,4,1,0,0,,,,,,,,,11,4,,40.72266,-73.98752,585507.7131000003,4508463.353599999
93770,041176,04,E HOUSTON ST,BROADWAY,FDR DR,14,30,85 Ft. E/O Orchard Street   ,,1,2019,1,7,Combined Total,Y,630,407,298,242,245,346,652,903,1202,1214,1284,1287,1218,1197,1210,1271,1250,1233,1332,1243,1234,1116,1021,854,22889,0.942,1,24299,1332,19,90,20245,1311,368,849,0,0,0,28,0,0,0,0,,22891,11,5,5,0,0,88,6,2,4,1,0,0,,,,,,,,,11,4,,40.72266,-73.98752,585507.7131000003,4508463.353599999
93773,041276,04,7TH AVE,W 34TH ST,W 23RD ST,14,30,131 Ft. N/O W 27 th Street  ,041276                                             / 041276 / 041276 / 041276,1,2019,1,7,Southbound,,958,752,533,424,444,624,892,1000,992,1010,980,898,920,878,956,1066,1083,1128,1142,1214,1210,1183,1151,1045,22483,0.942,1,23867,1214,20,42,20012,1054,376,953,0,0,0,47,0,0,0,0,,22484,11,6,6,0,0,89,5,2,4,1,0,0,,,,,,,,,11,4,,40.747,-73.99352,584970.0072999997,4511159.4374
93774,041276,04,7TH AVE,W 34TH ST,W 23RD ST,14,30,131 Ft. N/O W 27 th Street  ,,1,2019,1,7,Combined Total,Y,958,752,533,424,444,624,892,1000,992,1010,980,898,920,878,956,1066,1083,1128,1142,1214,1210,1183,1151,1045,22483,0.942,1,23867,1214,20,42,20012,1054,376,953,0,0,0,47,0,0,0,0,,22484,11,6,6,0,0,89,5,2,4,1,0,0,,,,,,,,,11,4,,40.747,-73.99352,584970.0072999997,4511159.4374
105122,011196,01,MELROSE AVE,3RD AVE,E 165TH ST,14,30,112 Ft. N/O E 157 th Street ,011196                                            ,1,2019,1,15,Northbound,,100,60,50,39,48,67,168,332,366,322,324,318,320,376,397,403,460,422,351,300,219,194,136,136,5908,0.942,1,6272,460,17,58,5230,177,312,123,0,0,0,1,0,0,0,0,,5901,10,7,7,0,1,89,3,5,2,1,0,0,,,,,,,,,11,1,,40.822,-73.91505,591491.7962999996,4519563.988
105123,011196,01,MELROSE AVE,3RD AVE,E 165TH ST,14,30,112 Ft. N/O E 157 th Street ,011196                                            ,1,2019,1,15,Southbound,,114,60,60,42,62,86,182,412,408,404,350,338,323,352,386,382,410,398,320,292,227,203,162,121,6094,0.942,1,6469,460,17,38,5379,195,320,149,0,0,0,5,0,0,0,0,,6086,11,8,8,0,1,88,3,5,2,1,1,0,,,,,,,,,11,1,,40.822,-73.91505,591491.7962999996,4519563.988
105124,011196,01,MELROSE AVE,3RD AVE,E 165TH ST,14,30,112 Ft. N/O E 157 th Street ,,1,2019,1,15,Combined Total,Y,214,120,110,81,110,153,350,744,774,726,674,656,643,728,783,785,870,820,671,592,446,397,298,257,12002,0.942,1,12741,870,17,96,10609,372,632,272,0,0,0,6,0,0,0,0,,11987,11,8,8,0,1,89,3,5,2,1,0,0,,,,,,,,,11,1,,40.822,-73.91505,591491.7962999996,4519563.988
105612,014246,01,SEWARD AVE,PUGSLEY AVE,OLMSTEAD AVE,17,30,120 Ft. E/O Pugsley Ave.    ,                                                   ,1,2019,1,14,Eastbound,,39,27,13,9,18,45,76,158,232,146,137,128,142,139,198,227,236,203,160,138,96,78,59,50,2754,0.942,1,2924,236,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,40.82033,-73.85409,596634.9610000001,4519444.034
106005,014246,01,SEWARD AVE,PUGSLEY AVE,OLMSTEAD AVE,17,30,120 Ft. E/O Pugsley Ave.    ,                                                   ,1,2019,1,14,Westbound,,23,14,12,6,8,49,189,218,178,120,99,108,122,156,164,161,184,169,124,90,73,56,37,26,2386,0.942,1,2533,236,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,1,,40.82033,-73.85409,596634.9610000001,4519444.034
