OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
105119,011141,01,E 138TH ST,WILLIS AVE,BRUCKNER BLVD,14,30,255 Ft. E/O Brook Ave.      ,011141                                            ,1,2019,1,14,Eastbound,,173,126,88,98,126,164,306,470,489,410,430,475,442,462,471,528,566,534,468,349,344,278,244,221,8262,0.942,1,8771,566,17,50,7001,483,315,373,0,0,0,35,0,0,0,0,,8257,15,9,8,0,1,85,6,4,5,1,1,0,,,,,,,,,11,1,,40.80717,-73.91829,591238.8854,4517914.3496
105120,011141,01,E 138TH ST,WILLIS AVE,BRUCKNER BLVD,14,30,255 Ft. E/O Brook Ave.      ,011141                                            ,1,2019,1,14,Westbound,,82,70,52,68,76,99,192,232,228,237,240,232,214,227,242,240,238,217,200,173,185,144,128,96,4112,0.942,1,4365,566,17,27,3474,203,131,237,0,0,0,35,0,0,0,0,,4107,15,10,9,1,1,85,5,3,6,1,0,0,,,,,,,,,11,1,,40.80717,-73.91829,591238.8854,4517914.3496
105121,011141,01,E 138TH ST,WILLIS AVE,BRUCKNER BLVD,14,30,255 Ft. E/O Brook Ave.      ,,1,2019,1,14,Combined Total,Y,255,196,140,166,202,263,498,702,717,647,670,707,656,689,713,768,804,751,668,522,529,422,372,317,12374,0.942,1,13136,804,17,77,10475,686,446,610,0,0,0,70,0,0,0,0,,12364,15,9,9,1,1,85,6,4,5,1,1,0,,,,,,,,,11,1,,40.80717,-73.91829,591238.8854,4517914.3496
105128,011251,01,WILLIS AVE,RAMP TO BRUCKNER BLVD,IN 87,14,30,333 Ft. S/O E 135 th Street ,011251                                             / 011251,1,2019,1,14,Northbound,,248,147,104,88,105,148,317,600,628,439,460,452,424,436,564,829,860,863,542,509,410,316,316,314,10119,0.942,1,10742,863,18,9,9080,481,305,243,0,0,0,7,0,0,0,0,,10125,10,5,5,0,0,90,5,3,2,1,0,0,,,,,,,,,11,1,,40.80625,-73.92495,590678.3777000001,4517805.3112
105129,011251,01,WILLIS AVE,RAMP TO BRUCKNER BLVD,IN 87,14,30,333 Ft. S/O E 135 th Street ,,1,2019,1,14,Combined Total,Y,248,147,104,88,105,148,317,600,628,439,460,452,424,436,564,829,860,863,542,509,410,316,316,314,10119,0.942,1,10742,863,18,9,9080,481,305,243,0,0,0,7,0,0,0,0,,10125,10,5,5,0,0,90,5,3,2,1,0,0,,,,,,,,,11,1,,40.80625,-73.92495,590678.3777000001,4517805.3112
105504,042061,04,LAFAYETTE ST,SPRING ST,E 8TH ST,16,30,247 Ft. N/O E 4 th Street   ,042061                                             / 042061,1,2019,1,7,Northbound,,312,193,123,98,102,200,317,548,654,674,586,620,555,624,612,599,625,653,676,737,710,622,565,454,11859,0.942,1,12589,737,20,36,11288,0,87,435,0,0,0,5,0,0,0,0,,11851,4,4,4,0,0,95,0,1,4,1,0,0,,,,,,,,,11,4,,40.7284,-73.9927,585062.9265000001,4509095.5013
105505,042061,04,LAFAYETTE ST,SPRING ST,E 8TH ST,16,30,247 Ft. N/O E 4 th Street   ,,1,2019,1,7,Combined Total,Y,312,193,123,98,102,200,317,548,654,674,586,620,555,624,612,599,625,653,676,737,710,622,565,454,11859,0.942,1,12589,737,20,36,11288,0,87,435,0,0,0,5,0,0,0,0,,11851,4,4,4,0,0,95,0,1,4,1,0,0,,,,,,,,,11,4,,40.7284,-73.9927,585062.9265000001,4509095.5013
105506,042071,04,E 49TH ST,FIFTH AVE,FDR DR,17,30,135 Ft. W/O 3 rd Ave.       ,042071                                             / 042071,1,2019,1,8,Westbound,,214,120,84,76,132,214,360,449,496,507,506,513,518,506,570,524,547,526,545,530,455,474,374,348,9588,0.942,1,10178,570,15,22,9073,0,165,310,0,0,0,8,0,0,0,0,,9578,5,5,5,0,0,95,0,2,3,1,0,0,,,,,,,,,11,4,,40.75539,-73.97169,586802.0771000003,4512112.1521000005
105507,042071,04,E 49TH ST,FIFTH AVE,FDR DR,17,30,135 Ft. W/O 3 rd Ave.       ,,1,2019,1,8,Combined Total,Y,214,120,84,76,132,214,360,449,496,507,506,513,518,506,570,524,547,526,545,530,455,474,374,348,9588,0.942,1,10178,570,15,22,9073,0,165,310,0,0,0,8,0,0,0,0,,9578,5,5,5,0,0,95,0,2,3,1,0,0,,,,,,,,,11,4,,40.75539,-73.97169,586802.0771000003,4512112.1521000005
109872,060001,06,Goethals Bridge,NEW JERSEY STATE LINE,START I-278/440 OLAP,11,30,1266 Ft. W/O In Ramp        ,060001                                             / 060001,1,2019,2,5,Eastbound,,562,378,312,383,647,1612,1988,1604,1798,1972,1846,1696,1615,1663,1858,2102,2472,2564,2221,1903,1404,1259,1150,808,35817,0.963,1,37193,2564,18,21,28902,2863,182,2045,0,0,0,1800,0,0,0,0,,35813,19,11,6,5,0,81,8,1,6,1,0,0,,,,,,,,,11,6,,40.62232,-74.17424,569842.9572000001,4497160.069700001
109873,060001,06,Goethals Bridge,NEW JERSEY STATE LINE,START I-278/440 OLAP,11,30,1351 Ft. W/O Off Ramp       ,060001                                             / 060001,1,2019,2,5,Westbound,,324,246,184,209,381,870,1574,2205,2327,2132,1964,1773,1734,1762,1971,2330,2397,2306,1962,1304,1083,887,713,556,33194,0.963,1,34469,2564,18,15,26844,2973,111,1773,0,0,0,1480,0,0,0,0,,33196,19,10,6,4,0,81,9,0,5,1,0,0,,,,,,,,,11,6,,40.62232,-74.17424,569842.9572000001,4497160.069700001
109874,060001,06,Goethals Bridge,NEW JERSEY STATE LINE,START I-278/440 OLAP,11,30,1351 Ft. W/O Off Ramp       ,,1,2019,2,5,Combined Total,Y,886,624,496,592,1028,2482,3562,3809,4125,4104,3810,3469,3349,3425,3829,4432,4869,4870,4183,3207,2487,2146,1863,1364,69011,0.963,1,71662,4870,18,36,55746,5836,293,3818,0,0,0,3280,0,0,0,0,,69009,19,11,6,5,0,81,8,0,6,1,0,0,,,,,,,,,11,6,,40.62232,-74.17424,569842.9572000001,4497160.069700001
110210,013061,01,I95 Exit 6 295I,I678 NB (OFF),DIVERGE TO I278 WB&I95 NB,11,30,1065 ft. N/O 678 NB          ,013061                                             / 013061 / 013061,1,2019,1,14,Northbound,,518,390,306,324,491,856,1138,1082,1010,1302,1068,1152,1021,1076,1109,1180,1208,1220,1209,1139,1061,1082,946,723,22611,0.942,1,24003,1302,10,3,18654,0,229,2109,0,0,0,1613,0,0,0,0,,22608,17,17,10,7,0,83,0,1,9,1,1,0,,,,,,,,,11,1,,40.82711,-73.83629,598126.0762,4520216.4583
110211,013061,01,I95 Exit 6 295I,I678 NB (OFF),DIVERGE TO I278 WB&I95 NB,11,30,1065 ft. N/O 678 NB          ,,1,2019,1,14,Combined Total,Y,518,390,306,324,491,856,1138,1082,1010,1302,1068,1152,1021,1076,1109,1180,1208,1220,1209,1139,1061,1082,946,723,22611,0.942,1,24003,1302,10,3,18654,0,229,2109,0,0,0,1613,0,0,0,0,,22608,17,17,10,7,0,83,0,1,9,1,1,0,,,,,,,,,11,1,,40.82711,-73.83629,598126.0762,4520216.4583
110215,014061,01,E 132ND ST,ROSE FEISS BLVD,LOCUST AVE,17,30,71 Ft. E/O Walnut Ave.      ,014061                                            ,1,2019,1,14,Eastbound,,8,14,14,14,10,22,21,17,20,17,17,17,18,19,22,20,24,15,16,8,16,12,14,14,389,0.942,1,413,24,17,0,119,13,5,217,0,0,0,29,0,0,0,0,,383,69,66,58,8,0,31,3,1,57,1,2,0,,,,,,,,,11,1,,40.79909,-73.91178,591799.1270000003,4517024.195800001
110216,014061,01,E 132ND ST,ROSE FEISS BLVD,LOCUST AVE,17,30,71 Ft. E/O Walnut Ave.      ,014061                                            ,1,2019,1,14,Westbound,,14,14,22,22,32,26,30,28,27,25,28,30,20,28,17,21,33,34,13,12,17,16,10,13,532,0.942,1,565,34,18,1,160,32,8,262,0,0,0,63,0,0,0,0,,526,69,63,51,12,0,30,6,2,50,1,2,0,,,,,,,,,11,1,,40.79909,-73.91178,591799.1270000003,4517024.195800001
