OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
105508,044080,04,E 13TH ST,AVENUE C,AVENUE D,17,30,301 Ft. E/O Ave. C          ,044080                                            ,1,2019,1,7,Eastbound,,17,9,10,6,14,24,38,50,38,46,52,50,50,44,60,59,44,42,41,33,29,23,28,20,827,0.942,1,878,60,15,7,698,58,19,32,0,0,0,0,0,0,0,0,,814,13,6,6,0,1,86,7,2,4,1,1,0,,,,,,,,,11,4,,40.72735,-73.97518,586543.8125999998,4508996.0649999995
105509,044080,04,E 13TH ST,AVENUE C,AVENUE D,17,30,301 Ft. E/O Ave. C          ,044080                                            ,1,2019,1,7,Westbound,,10,6,5,2,6,14,32,38,30,32,38,51,35,45,50,41,33,28,40,30,22,20,18,10,636,0.942,1,675,60,15,4,530,51,19,21,0,0,0,0,0,0,0,0,,625,15,6,6,0,1,85,8,3,3,1,1,0,,,,,,,,,11,4,,40.72735,-73.97518,586543.8125999998,4508996.0649999995
105510,044080,04,E 13TH ST,AVENUE C,AVENUE D,17,30,301 Ft. E/O Ave. C          ,,1,2019,1,7,Combined Total,Y,27,15,15,8,20,38,70,88,68,78,90,101,85,89,110,100,77,70,81,63,51,43,46,30,1463,0.942,1,1553,110,15,11,1228,109,38,53,0,0,0,0,0,0,0,0,,1439,14,6,6,0,1,85,8,3,4,1,1,0,,,,,,,,,11,4,,40.72735,-73.97518,586543.8125999998,4508996.0649999995
105515,044130,04,E 8TH ST,FIFTH AVE,3RD AVENUE,17,30,154 Ft. W/O Lafayette Street ,044130                                            ,1,2019,1,7,Eastbound,,124,76,48,40,48,80,144,251,311,342,324,278,278,262,264,300,266,274,288,299,276,228,203,182,5186,0.942,1,5505,342,10,29,4172,354,326,292,0,0,0,6,0,0,0,0,,5179,19,12,12,0,1,81,7,6,6,1,1,0,,,,,,,,,11,4,,40.73031,-73.99174,585141.5617000004,4509308.4549
105516,044130,04,E 8TH ST,FIFTH AVE,3RD AVENUE,17,30,154 Ft. W/O Lafayette Street ,,1,2019,1,7,Combined Total,Y,124,76,48,40,48,80,144,251,311,342,324,278,278,262,264,300,266,274,288,299,276,228,203,182,5186,0.942,1,5505,342,10,29,4172,354,326,292,0,0,0,6,0,0,0,0,,5179,19,12,12,0,1,81,7,6,6,1,1,0,,,,,,,,,11,4,,40.73031,-73.99174,585141.5617000004,4509308.4549
106010,041120,04,AMSTERDAM AVE,W 72ND ST,W 96TH ST,14,30,117 Ft. S/O W 85 th Street  ,041120                                             / 041120 / 041120,1,2019,1,8,Northbound,,518,346,258,243,267,373,556,824,878,790,862,832,819,845,858,948,1064,1058,1138,1044,884,828,804,655,17692,0.942,1,18781,1138,19,92,14160,1194,418,1531,0,0,0,301,0,0,0,0,,17696,19,13,11,2,1,80,7,2,9,1,0,0,,,,,,,,,11,4,,40.78664,-73.97579,586415.4808999998,4515577.0956
106011,041120,04,AMSTERDAM AVE,W 72ND ST,W 96TH ST,14,30,117 Ft. S/O W 85 th Street  ,,1,2019,1,8,Combined Total,Y,518,346,258,243,267,373,556,824,878,790,862,832,819,845,858,948,1064,1058,1138,1044,884,828,804,655,17692,0.942,1,18781,1138,19,92,14160,1194,418,1531,0,0,0,301,0,0,0,0,,17696,19,13,11,2,1,80,7,2,9,1,0,0,,,,,,,,,11,4,,40.78664,-73.97579,586415.4808999998,4515577.0956
110201,012040,01,STILLWELL AVE,PELHAM PKWY N,E GUN HILL RD,16,30,24 Ft. W/O Gunther Ave.     ,012040                                            ,1,2019,1,14,Eastbound,,3,3,2,3,2,14,22,31,46,22,24,24,32,30,42,47,36,39,28,25,17,10,17,14,533,0.942,1,566,47,16,1,481,9,35,0,0,0,0,0,0,0,0,0,,526,8,7,7,0,0,91,2,7,0,1,1,0,,,,,,,,,11,1,,40.85741,-73.83634,598077.1782,4523579.9991999995
110202,012040,01,STILLWELL AVE,PELHAM PKWY N,E GUN HILL RD,16,30,24 Ft. W/O Gunther Ave.     ,012040                                            ,1,2019,1,14,Westbound,,16,13,7,9,20,66,162,376,374,224,168,163,174,187,268,309,342,308,212,154,126,70,59,46,3853,0.942,1,4090,376,8,1,3596,145,71,30,0,0,0,0,0,0,0,0,,3843,6,3,3,0,0,94,4,2,1,1,0,0,,,,,,,,,11,1,,40.85741,-73.83634,598077.1782,4523579.9991999995
110203,012040,01,STILLWELL AVE,PELHAM PKWY N,E GUN HILL RD,16,30,24 Ft. W/O Gunther Ave.     ,,1,2019,1,14,Combined Total,Y,19,16,9,12,22,80,184,407,420,246,192,187,206,217,310,356,378,347,240,179,143,80,76,60,4386,0.942,1,4656,420,9,2,4077,154,106,30,0,0,0,0,0,0,0,0,,4369,7,3,3,0,0,93,4,2,1,1,1,0,,,,,,,,,11,1,,40.85741,-73.83634,598077.1782,4523579.9991999995
