OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
93766,041157,04,LEXINGTON AVE,E 59TH ST,E 34TH ST,14,30,12 Ft. S/O E 47 th Street   ,041157                                             / 041157 / 041157 / 041157,1,2019,1,7,Southbound,,726,524,327,334,434,653,990,1126,1118,1070,1108,1101,1071,1066,1138,1160,1193,1192,1280,1280,1317,1281,1202,994,23685,0.942,1,25143,1317,21,33,20411,1334,665,1192,0,0,0,51,0,0,0,0,,23686,14,8,8,0,0,86,6,3,5,1,0,0,,,,,,,,,11,4,,40.75458,-73.97377,586627.5480000004,4512020.1807
93767,041157,04,LEXINGTON AVE,E 59TH ST,E 34TH ST,14,30,12 Ft. S/O E 47 th Street   ,,1,2019,1,7,Combined Total,Y,726,524,327,334,434,653,990,1126,1118,1070,1108,1101,1071,1066,1138,1160,1193,1192,1280,1280,1317,1281,1202,994,23685,0.942,1,25143,1317,21,33,20411,1334,665,1192,0,0,0,51,0,0,0,0,,23686,14,8,8,0,0,86,6,3,5,1,0,0,,,,,,,,,11,4,,40.75458,-73.97377,586627.5480000004,4512020.1807
110207,012047,01,RIVER AVE,E 158TH ST,JEROME AVE,16,30,246 Ft. S/O E 16 th Street  ,012047                                            ,1,2019,1,15,Northbound,,27,18,17,14,20,26,80,192,152,134,99,94,108,90,112,128,116,113,92,74,52,49,56,38,1901,0.942,1,2018,192,8,4,1747,73,37,35,0,0,0,0,0,0,0,0,,1896,8,4,4,0,0,92,4,2,2,1,0,0,,,,,,,,,11,1,,40.83134,-73.92387,590735.2763999999,4520591.6416
110208,012047,01,RIVER AVE,E 158TH ST,JEROME AVE,16,30,246 Ft. S/O E 16 th Street  ,012047                                            ,1,2019,1,15,Southbound,,46,34,26,14,22,27,54,109,153,156,155,156,156,170,174,197,255,314,200,124,92,99,74,58,2865,0.942,1,3041,314,18,21,2617,108,35,74,0,0,0,2,0,0,0,0,,2857,8,4,4,0,1,92,4,1,3,1,0,0,,,,,,,,,11,1,,40.83134,-73.92387,590735.2763999999,4520591.6416
110209,012047,01,RIVER AVE,E 158TH ST,JEROME AVE,16,30,246 Ft. S/O E 16 th Street  ,,1,2019,1,15,Combined Total,Y,73,52,43,28,42,53,134,301,305,290,254,250,264,260,286,325,371,427,292,198,144,148,130,96,4766,0.942,1,5059,427,18,25,4364,181,72,109,0,0,0,2,0,0,0,0,,4753,8,4,4,0,1,92,4,2,2,1,0,0,,,,,,,,,11,1,,40.83134,-73.92387,590735.2763999999,4520591.6416
110218,014067,01,E 141ST ST,JACKSON AVE,BRUCKNER BLVD,17,30,95 Ft. E/O Wales Ave.       ,014067                                            ,1,2019,1,14,Eastbound,,15,11,6,10,20,34,53,109,118,84,67,87,77,68,122,154,180,144,94,60,42,42,32,24,1653,0.942,1,1755,180,17,6,1493,0,57,86,0,0,0,3,0,0,0,0,,1645,9,9,9,0,0,91,0,3,5,1,1,0,,,,,,,,,11,1,,40.80646,-73.91,591939.1135999998,4517844.194800001
110219,014067,01,E 141ST ST,JACKSON AVE,BRUCKNER BLVD,17,30,95 Ft. E/O Wales Ave.       ,014067                                            ,1,2019,1,14,Westbound,,27,16,17,16,22,54,222,401,320,332,259,218,223,214,290,246,251,224,142,120,88,72,63,49,3886,0.942,1,4125,401,8,4,3557,0,136,159,0,0,0,28,0,0,0,0,,3884,8,8,8,1,0,92,0,4,4,1,1,0,,,,,,,,,11,1,,40.80646,-73.91,591939.1135999998,4517844.194800001
110220,014067,01,E 141ST ST,JACKSON AVE,BRUCKNER BLVD,17,30,95 Ft. E/O Wales Ave.       ,,1,2019,1,14,Combined Total,Y,42,27,23,26,42,88,275,510,438,416,326,305,300,282,412,400,431,368,236,180,130,114,95,73,5539,0.942,1,5880,510,8,10,5050,0,193,245,0,0,0,31,0,0,0,0,,5529,8,8,8,1,0,91,0,3,4,1,1,0,,,,,,,,,11,1,,40.80646,-73.91,591939.1135999998,4517844.194800001
110290,063007,06,I278 Exit 6 & 7,I278 WB (OFF),GOETHALS RD,11,30,225 Ft. W/O I 278           ,063007                                            ,1,2019,2,5,Westbound,,109,52,39,40,44,128,306,572,733,536,434,444,490,488,570,553,567,604,478,313,344,266,180,152,8442,0.963,1,8766,733,9,3,7391,635,155,218,0,0,0,34,0,0,0,0,,8436,12,5,4,0,0,88,8,2,3,1,0,0,,,,,,,,,11,6,,40.61769,-74.16077,570987.1665000003,4496656.899700001
110291,063007,06,I278 Exit 6 & 7,I278 WB (OFF),GOETHALS RD,11,30,225 Ft. W/O I 278           ,,1,2019,2,5,Combined Total,Y,109,52,39,40,44,128,306,572,733,536,434,444,490,488,570,553,567,604,478,313,344,266,180,152,8442,0.963,1,8766,733,9,3,7391,635,155,218,0,0,0,34,0,0,0,0,,8436,12,5,4,0,0,88,8,2,3,1,0,0,,,,,,,,,11,6,,40.61769,-74.16077,570987.1665000003,4496656.899700001
