OBJECTID,RCSTA,RC Code,Roadway Name,Station Start,Station End,Functional Class,Factor Group,Specific Recorder Placement,Channel Notes,Vehicle Axle Code,Count Year,Count Month,Day of First Data,Federal Direction,Full Count,1200am-0100am,0100am-0200am,0200am-0300am,0300am-0400am,0400am-0500am,0500am-0600am,0600am-0700am,0700am-0800am,0800am-0900am,0900am-1000am,1000am-1100am,1100am-1200pm,1200pm-0100pm,0100pm-0200pm,0200pm-0300pm,0300pm-0400pm,0400pm-0500pm,0500pm-0600pm,0600pm-0700pm,0700pm-0800pm,0800pm-0900pm,0900pm-1000pm,1000pm-1100pm,1100pm-1200pm,Average Weekday Daily Traffic,Seasonal Factor,Axle Factor,AADT,High Hour Value,High Hour Interval,Average Weekday F1S,Average Weekday F2S,Average Weekday F3S,Average Weekday F4S,Average Weekday F5S,Average Weekday F6S,Average Weekday F7S,Average Weekday F8S,Average Weekday F9S,Average Weekday F10S,Average Weekday F11S,Average Weekday F12S,Average Weekday F13S,Average Weekday Unclassified,Average Weekday Totals,Average Weekday Percent F3_13,Average Weekday Percent F4_13,Average Weekday Percent F4_7,Average Weekday Percent F8_13,Average Weekday Percent F1,Average Weekday Percent F2,Average Weekday Percent F3,Average Weekday Percent F4,Average Weekday Percent F5_7,Axle Correction Factor,Single Unit Peak,Combination Unit Peak,Single Unit AADT,Combination Unit AADT,Average Speed,50th Percentile Speed,85th Percentile Speed,Vehicles Exceeding 55mph,Vehicles Exceeding 65mph,Region,Region Number,County Number,Municipality,Latitude,Longitude,x,y
105114,011009,01,WILLIAMSBRIDGE,ALLERTON AVE,BOSTON RD,14,30,100 Ft. S/O Radcliff Ave.    ,011009                                            ,1,2019,1,14,Northbound,,33,16,15,8,14,32,88,200,244,158,149,187,193,198,228,230,209,228,196,154,120,88,59,56,3103,0.942,1,3294,244,9,1,2693,181,131,86,0,0,0,6,0,0,0,0,,3098,13,7,7,0,0,87,6,4,3,1,1,0,,,,,,,,,11,1,,40.86616,-73.86034,596041.6961000003,4524524.7347
105115,011009,01,WILLIAMSBRIDGE,ALLERTON AVE,BOSTON RD,14,30,100 Ft. S/O Radcliff Ave.    ,011009                                            ,1,2019,1,14,Southbound,,27,12,8,11,18,35,99,218,213,142,136,160,146,156,183,190,198,180,134,121,88,52,54,30,2611,0.942,1,2772,244,9,4,2263,146,123,68,0,0,0,5,0,0,0,0,,2609,13,8,7,0,0,87,6,5,3,1,1,0,,,,,,,,,11,1,,40.86616,-73.86034,596041.6961000003,4524524.7347
105116,011009,01,WILLIAMSBRIDGE,ALLERTON AVE,BOSTON RD,14,30,100 Ft. S/O Radcliff Ave.    ,,1,2019,1,14,Combined Total,Y,60,28,23,19,32,67,187,418,457,300,285,347,339,354,411,420,407,408,330,275,208,140,113,86,5714,0.942,1,6066,457,9,5,4956,327,254,154,0,0,0,11,0,0,0,0,,5707,13,7,7,0,0,87,6,4,3,1,1,0,,,,,,,,,11,1,,40.86616,-73.86034,596041.6961000003,4524524.7347
105125,011199,01,PROSPECT AVE,SOUTHERN BLVD,E 163RD ST,14,30,87 Ft. S/O E 161 st Street  ,011199                                            ,1,2019,1,14,Northbound,,40,22,18,12,27,35,96,176,192,178,156,162,164,158,187,224,227,228,168,135,94,84,71,60,2914,0.942,1,3093,228,18,15,2446,141,212,100,0,0,0,3,0,0,0,0,,2917,16,11,11,0,1,84,5,7,3,1,0,0,,,,,,,,,11,1,,40.82016,-73.90142,592643.7697000001,4519374.0507
105126,011199,01,PROSPECT AVE,SOUTHERN BLVD,E 163RD ST,14,30,87 Ft. S/O E 161 st Street  ,011199                                            ,1,2019,1,14,Southbound,,52,28,38,28,29,58,130,258,264,238,196,188,196,214,236,281,280,242,192,196,127,112,106,78,3767,0.942,1,3999,281,16,20,3259,170,198,110,0,0,0,0,0,0,0,0,,3757,13,8,8,0,1,87,5,5,3,1,1,0,,,,,,,,,11,1,,40.82016,-73.90142,592643.7697000001,4519374.0507
105127,011199,01,PROSPECT AVE,SOUTHERN BLVD,E 163RD ST,14,30,87 Ft. S/O E 161 st Street  ,,1,2019,1,14,Combined Total,Y,92,50,56,40,56,93,226,434,456,416,352,350,360,372,423,505,507,470,360,331,221,196,177,138,6681,0.942,1,7092,507,17,35,5705,311,410,210,0,0,0,3,0,0,0,0,,6674,14,9,9,0,1,85,5,6,3,1,1,0,,,,,,,,,11,1,,40.82016,-73.90142,592643.7697000001,4519374.0507
105499,042049,04,W 15TH ST,ELEVENTH AVE,FIFTH AVE,17,30,416 Ft. E/O 8 th Ave.       ,042049                                            ,1,2019,1,9,Westbound,,105,90,55,56,56,75,96,154,206,224,214,192,211,232,238,252,221,208,226,231,231,198,158,161,4090,0.942,1,4342,252,16,39,3893,0,19,134,0,0,0,0,0,0,0,0,,4085,4,4,4,0,1,95,0,0,3,1,0,0,,,,,,,,,11,4,,40.73983,-74.00057,584383.8788000001,4510356.715500001
105500,042049,04,W 15TH ST,ELEVENTH AVE,FIFTH AVE,17,30,416 Ft. E/O 8 th Ave.       ,,1,2019,1,9,Combined Total,Y,105,90,55,56,56,75,96,154,206,224,214,192,211,232,238,252,221,208,226,231,231,198,158,161,4090,0.942,1,4342,252,16,39,3893,0,19,134,0,0,0,0,0,0,0,0,,4085,4,4,4,0,1,95,0,0,3,1,0,0,,,,,,,,,11,4,,40.73983,-74.00057,584383.8788000001,4510356.715500001
105513,044109,04,E 45TH ST,VANDERBILT AVE,FIFTH AVE,17,30,151 Ft. W/O Madison Ave.    ,044109                                             / 044109 / 044109,1,2019,1,7,Westbound,,164,118,93,82,118,174,294,387,342,343,362,369,347,342,340,382,404,394,374,342,317,310,322,258,6978,0.942,1,7408,404,17,29,5846,511,25,550,0,0,0,12,0,0,0,0,,6973,16,8,8,0,0,84,7,0,8,1,0,0,,,,,,,,,11,4,,40.75499,-73.97851,586226.8924000002,4512061.0254999995
105514,044109,04,E 45TH ST,VANDERBILT AVE,FIFTH AVE,17,30,151 Ft. W/O Madison Ave.    ,,1,2019,1,7,Combined Total,Y,164,118,93,82,118,174,294,387,342,343,362,369,347,342,340,382,404,394,374,342,317,310,322,258,6978,0.942,1,7408,404,17,29,5846,511,25,550,0,0,0,12,0,0,0,0,,6973,16,8,8,0,0,84,7,0,8,1,0,0,,,,,,,,,11,4,,40.75499,-73.97851,586226.8924000002,4512061.0254999995
